team,year,class
 Peugeot MC Saxoprint,2017,moto3
 Marinelli Rivacold Snipers,2017,moto3
 AGR Team,2017,moto3
 SIC Racing Team,2017,moto3
 SKY Racing Team VR46,2017,moto3
 Leopard Racing,2017,moto3
 CIP,2017,moto3
 SIC58 Squadra Corse,2017,moto3
 Platinum Bay Real Estate,2017,moto3
 British Talent Team,2017,moto3
 RBA BOE Racing Team,2017,moto3
 Del Conca Gresini Moto3,2017,moto3
 Red Bull KTM Ajo,2017,moto3
 Honda Team Asia,2017,moto3
" Estrella Galicia 0,0",2017,moto3
 Aspar Mahindra Moto3,2017,moto3
 Althea Racing,2017,moto3
 Minimoto Portomaggiore,2017,moto3
 Südmetall Schedl GP Racing,2017,moto3
 Reale Avintia Academy,2017,moto3
 42 Motorsport,2017,moto3
 Mahindra MRW Aspar Team,2017,moto3
 MH6 Team,2017,moto3
 Sky Junior Team VR46 Academy,2017,moto3
 Asia Talent Team,2017,moto3
 Motomex Team Moto3,2017,moto3
 Freudenberg Racing Team,2017,moto3
 City Lifting/RS Racing,2017,moto3
 Petronas Sprinta Racing,2017,moto3
 Lamotec Lagemaat Racing,2017,moto3
 Mahindra Gaviota Aspar,2017,moto3
 3570-MTA,2017,moto3
 Cube Racing,2017,moto3
 Motorsport Kofler E.U.,2017,moto3
 Junior Team VR46 Riders Academy,2017,moto3
 Cuna de Campeones,2017,moto3
 Honda Team Asia,2024,moto3
 MT Helmets - MSI,2024,moto3
 SIC58 Squadra Corse,2024,moto3
 LEVELUP - MTA,2024,moto3
 Red Bull GASGAS Tech3,2024,moto3
 Kopron Rivacold Snipers Team,2024,moto3
 FleetSafe Honda - MLav Racing,2024,moto3
 Liqui Moly Husqvarna Intact GP,2024,moto3
 Leopard Racing,2024,moto3
 CIP Green Power,2024,moto3
 BOE Motorsports,2024,moto3
 CFMOTO Gaviota Aspar Team,2024,moto3
 Red Bull KTM Ajo,2024,moto3
 MLav Racing,2024,moto3
 Rivacold Snipers Team,2024,moto3
 CFMOTO Valresa Aspar Team,2024,moto3
 Fibre Tec Honda - MLav Racing,2024,moto3
 CFMOTO Aspar Team,2024,moto3
 CIP-Unicom Starker,2016,moto3
 Gresini Racing Moto3,2016,moto3
 MH6 Team,2016,moto3
 Drive M7 SIC Racing Team,2016,moto3
 SKY Racing Team VR46,2016,moto3
" Estrella Galicia 0,0",2016,moto3
 RW Racing GP BV,2016,moto3
 Peugeot MC Saxoprint,2016,moto3
 RBA Racing Team,2016,moto3
 Leopard Racing,2016,moto3
 Gaviota Mahindra ASPAR,2016,moto3
 Ongetta-Rivacold,2016,moto3
 Platinum Bay Real Estate,2016,moto3
 Red Bull KTM Ajo,2016,moto3
 3570 Team Italia,2016,moto3
 Mahindra Racing,2016,moto3
 Schedl GP Racing,2016,moto3
 Minimoto Portomaggiore,2016,moto3
 Honda Team Asia,2016,moto3
 MRW Mahindra Aspar Team,2016,moto3
 ASPAR Mahindra Team Moto3,2016,moto3
 Procercasa - 42 Motorsport,2016,moto3
 MH6 Laglisse,2016,moto3
 Pull & Bear Aspar Mahindra Team,2016,moto3
 GA Competicion,2016,moto3
 Freundenberg Racing Team,2016,moto3
 Pull & Bear ASPAR Mahindra Team,2016,moto3
 Freudenberg Racing Team,2016,moto3
 KRM-RZT,2016,moto3
 Suus Honda FTR,2016,moto3
 UQ & TELURU KOHARA RT,2016,moto3
 41 Planning IodaRacing Japan,2016,moto3
 Motomex Team Worldwide Race,2016,moto3
 Honda Team Asia,2025,moto3
 FRINSA - MT Helmets - MSI,2025,moto3
 GRYD - Mlav Racing,2025,moto3
 Rivacold Snipers Team,2025,moto3
 Red Bull KTM Tech3,2025,moto3
 DENSSI Racing - BOE,2025,moto3
 LEVELUP-MTA,2025,moto3
 CIP Green Power,2025,moto3
 Leopard Racing,2025,moto3
 CFMOTO Valresa Aspar Team,2025,moto3
 SIC58 Squadra Corse,2025,moto3
 LIQUI MOLY Dynavolt Intact GP,2025,moto3
 Red Bull KTM Ajo,2025,moto3
 CFMOTO Gaviota Aspar Team,2025,moto3
 Angeluss - Mlav Racing,2025,moto3
 Liqui Moly Dynavolt Intact GP,2025,moto3
 CFMOTO Viel Aspar Team,2025,moto3
Ioda Team Italia,2012,moto3
Team Italia FMI,2012,moto3
JHK t-shirt Laglisse,2012,moto3
Caretta Technology,2012,moto3
Racing Team Germany,2012,moto3
Red Bull KTM Ajo,2012,moto3
Ambrogio Next Racing,2012,moto3
Mahindra Racing,2012,moto3
Andalucia JHK t-shirt Laglisse,2012,moto3
Blusens Avintia,2012,moto3
San Carlo Gresini Moto3,2012,moto3
Ongetta-Centro Seta,2012,moto3
TT Motion Events Racing,2012,moto3
Team Imperiali Racing,2012,moto3
RW Racing GP,2012,moto3
"Estrella Galicia 0,0",2012,moto3
Technomag-CIP-TSR,2012,moto3
Moto FGR,2012,moto3
Mapfre Aspar Team Moto3,2012,moto3
AirAsia-Sic-Ajo,2012,moto3
Elle 2-Ciatti,2012,moto3
IodaRacing Project,2012,moto3
Redox-Ongetta-Centro Seta,2012,moto3
JHK T-Shirt Laglisse,2012,moto3
Cresto Guide MZ Racing,2012,moto3
Racing Steps Foundation KRP,2012,moto3
Andalucia JHK Laglisse,2012,moto3
Bankia Aspar Team,2012,moto3
Wild Wolf BST,2012,moto3
HP Moto Kalex,2012,moto3
MZ Racing,2012,moto3
Freudenberg Racing Team,2012,moto3
JHK Laglisse,2012,moto3
Thomas Sabo GP Team,2012,moto3
Elba-Caretta Technology,2012,moto3
Estrella Galicia 0'0,2012,moto3
Dutch Racing Team,2012,moto3
MIR Racing,2012,moto3
Racing Team Gabrielli,2012,moto3
Elle 2 Ciatti,2012,moto3
Fastline GP Racing,2012,moto3
K1 Racing,2012,moto3
Project U 7C Harc,2012,moto3
18 Garage Racing Team,2012,moto3
Repsol Honda Team,2012,moto3
Monster Yamaha Tech 3,2012,moto3
NGM Mobile Forward Racing,2012,moto3
LCR Honda MotoGP,2012,moto3
Pramac Racing Team,2012,moto3
Came IodaRacing Project,2012,moto3
