team,year,class,hex_color
Peugeot MC Saxoprint,2017,moto3,#192594
Marinelli Rivacold Snipers,2017,moto3,#4682B4
AGR Team,2017,moto3,#DC143C
SIC Racing Team,2017,moto3,#192594
SKY Racing Team VR46,2017,moto3,#95A003
Leopard Racing,2017,moto3,#228B8B
CIP,2017,moto3,#047504
SIC58 Squadra Corse,2017,moto3,#FF1493
Platinum Bay Real Estate,2017,moto3,#192594
British Talent Team,2017,moto3,#192594
RBA BOE Racing Team,2017,moto3,#125A12
Del Conca Gresini Moto3,2017,moto3,#4169E1
Red Bull KTM Ajo,2017,moto3,#FF6600
Honda Team Asia,2017,moto3,#FF4500
"Estrella Galicia 0,0",2017,moto3,#FFD700
Aspar Mahindra Moto3,2017,moto3,#DC143C
Althea Racing,2017,moto3,#192594
Minimoto Portomaggiore,2017,moto3,#192594
Südmetall Schedl GP Racing,2017,moto3,#192594
Reale Avintia Academy,2017,moto3,#2F4F4F
42 Motorsport,2017,moto3,#192594
Mahindra MRW Aspar Team,2017,moto3,#DC143C
MH6 Team,2017,moto3,#192594
Sky Junior Team VR46 Academy,2017,moto3,#95A003
Asia Talent Team,2017,moto3,#192594
Motomex Team Moto3,2017,moto3,#192594
Freudenberg Racing Team,2017,moto3,#192594
City Lifting/RS Racing,2017,moto3,#192594
Petronas Sprinta Racing,2017,moto3,#0059FF
Lamotec Lagemaat Racing,2017,moto3,#192594
Mahindra Gaviota Aspar,2017,moto3,#DC143C
3570-MTA,2017,moto3,#192594
Cube Racing,2017,moto3,#192594
Motorsport Kofler E.U.,2017,moto3,#192594
Junior Team VR46 Riders Academy,2017,moto3,#95A003
Cuna de Campeones,2017,moto3,#192594
Honda Team Asia,2024,moto3,#FF4500
MT Helmets - MSI,2024,moto3,#000000
SIC58 Squadra Corse,2024,moto3,#FF1493
LEVELUP - MTA,2024,moto3,#192594
Red Bull GASGAS Tech3,2024,moto3,#B8500A
Kopron Rivacold Snipers Team,2024,moto3,#4682B4
FleetSafe Honda - MLav Racing,2024,moto3,#FF4500
Liqui Moly Husqvarna Intact GP,2024,moto3,#D1002D
Leopard Racing,2024,moto3,#228B8B
CIP Green Power,2024,moto3,#047504
