x_value,total_1,total_2
0,1000,1000
1,1005,1003
2,1009,1000
3,1008,998
4,1010,995
5,1004,995
6,1002,990
7,996,996
8,992,1002
9,992,1003
10,1000,1008
11,1008,1010
12,1011,1013
13,1019,1016
14,1015,1019
15,1017,1018
16,1021,1024
17,1021,1022
18,1019,1017
19,1014,1020
20,1012,1026
21,1007,1027
22,1003,1024
23,1000,1028
24,997,1023
25,993,1023
26,988,1018
27,989,1019
28,993,1023
29,991,1028
30,999,1023
31,997,1025
32,1002,1026
33,996,1032
34,990,1035
35,986,1030
36,992,1033
37,990,1038
38,988,1040
39,993,1035
40,998,1030
41,994,1031
42,990,1029
43,984,1027
44,983,1025
45,980,1031
46,984,1035
47,990,1035
48,991,1040
49,997,1044
50,1004,1046
51,998,1046
52,995,1043
53,995,1047
54,991,1050
55,997,1053
56,998,1052
57,1004,1055
58,1011,1060
59,1018,1059
60,1012,1060
61,1017,1057
62,1014,1061
63,1013,1059
64,1015,1056
65,1018,1056
66,1022,1057
67,1030,1062
68,1035,1068
69,1033,1063
70,1030,1060
71,1027,1061
72,1031,1067
73,1036,1071
74,1039,1073
75,1041,1068
76,1047,1072
77,1044,1073
78,1039,1070
79,1034,1067
80,1039,1070
81,1045,1070
82,1050,1073
83,1044,1069
84,1040,1071
85,1045,1076
86,1047,1076
87,1042,1071
88,1036,1068
89,1036,1067
90,1042,1063
91,1039,1068
92,1040,1063
93,1038,1059
94,1033,1065
95,1039,1070
96,1042,1067
97,1042,1064
98,1050,1069
99,1050,1069
100,1050,1065
101,1054,1071
102,1048,1077
103,1051,1072
104,1058,1076
105,1063,1075
106,1061,1074
107,1064,1074
108,1059,1073
109,1053,1075
110,1051,1079
111,1050,1078
112,1048,1079
113,1054,1075
114,1059,1079
115,1060,1078
116,1063,1077
117,1059,1083
118,1054,1083
119,1048,1080
120,1051,1081
121,1058,1085
122,1052,1081
123,1049,1082
124,1056,1079
125,1062,1074
126,1063,1076
127,1070,1072
128,1073,1068
129,1080,1065
130,1084,1069
131,1092,1074
132,1098,1074
133,1095,1077
134,1096,1080
135,1090,1084
136,1092,1079
137,1094,1079
138,1095,1078
139,1089,1074
140,1085,1077
141,1086,1083
142,1080,1088
143,1075,1085
0,1000,1000
1,997,1004
2,1005,1005
3,1000,1002
4,996,1003
5,994,1006
6,992,1007
7,989,1003
8,987,1002
9,984,999
10,988,1003
11,995,1009
12,1002,1007
13,1002,1013
14,997,1018
15,1000,1018
16,1001,1020
17,997,1018
18,991,1017
19,993,1017
20,988,1019
21,993,1017
22,997,1019
23,995,1023
24,994,1019
25,994,1015
26,991,1019
27,989,1020
28,989,1021
29,983,1022
30,984,1018
31,980,1018
32,975,1018
33,969,1021
34,963,1025
35,965,1028
36,963,1034
37,958,1038
38,966,1044
39,964,1041
40,972,1044
41,970,1046
42,975,1046
43,972,1047
44,978,1053
45,975,1054
46,979,1058
47,973,1054
48,974,1054
49,968,1050
50,970,1055
51,974,1051
52,975,1048
53,977,1053
54,980,1053
55,985,1059
56,988,1059
57,995,1065
58,989,1061
59,984,1065
60,983,1067
61,991,1071
62,991,1074
63,989,1078
64,990,1084
65,997,1086
66,998,1081
67,1005,1082
68,1005,1083
69,1011,1085
70,1012,1081
71,1008,1083
72,1009,1088
73,1011,1084
74,1010,1088
75,1016,1087
76,1010,1093
77,1012,1094
78,1020,1095
79,1021,1095
80,1022,1092
81,1030,1093
82,1028,1088
83,1032,1084
84,1033,1090
85,1040,1086
86,1046,1088
87,1040,1084
88,1047,1089
89,1049,1095
90,1056,1092
91,1064,1091
92,1069,1094
93,1065,1097
94,1066,1097
95,1073,1102
96,1076,1108
97,1072,1110
98,1080,1116
99,1075,1120
100,1072,1122
101,1074,1123
102,1079,1121
103,1075,1120
104,1076,1121
105,1081,1127
106,1088,1124
107,1091,1127
108,1088,1124
109,1091,1127
110,1098,1131
111,1092,1126
112,1093,1129
113,1093,1124
